SP	 Z	   V	  Q	  M	   Ei
1	0.2	0.279	0.045 	12.5 	0.944 
1	0.2	0.259	0.021 	5.40 	0.926 
1	0.2	0.283	0.023 	6.40 	0.759 
1	0.4	0.579	0.045 	26.8 	0.840 
1	0.4	0.527	0.021 	11.1 	0.791 
1	0.4	0.547	0.022 	12.0 	0.773 
1	0.4	0.572	0.045 	26.2 	0.107 
1	0.4	0.521	0.021 	10.9 	0.724 
1	0.4	0.549	0.022 	12.1 	0.724 
2	0.2	0.279	0.045 	12.5 	0.537 
2	0.2	0.259	0.021 	5.40 	0.843 
2	0.2	0.283	0.023 	6.40 	0.000 
2	0.4	0.579	0.045 	26.8 	0.052 
2	0.4	0.527	0.021 	11.1 	0.559 
2	0.4	0.547	0.022 	12.0 	0.550 
2	0.4	0.579	0.045 	26.2 	0.100 
2	0.4	0.521	0.021 	10.9 	0.582 
2	0.4	0.549	0.022 	12.1 	0.136 
2	0.2	0.284	0.045 	12.9 	0.189 
2	0.2	0.259	0.021 	5.40 	0.655 
2	0.2	0.275	0.022 	6.10 	0.534 
2	0.4	0.572	0.045 	26.2 	0.158 
2	0.4	0.521	0.021 	10.9 	0.617 
2	0.4	0.549	0.022 	12.1 	0.481 
2	0.2	0.284	0.045 	12.9 	0.333 
2	0.2	0.259	0.021 	5.40 	0.471 
2	0.2	0.275	0.022 	6.10 	0.647 
2	0.2	0.279	0.045 	12.5 	0.183 
2	0.2	0.259	0.021 	5.40 	0.678 
2	0.2	0.283	0.023 	6.40 	0.504 
2	0.4	0.579	0.045 	26.8 	0.085 
2	0.4	0.527	0.021 	11.1 	0.415 
2	0.4	0.547	0.022 	12.0 	0.317 
